CSGP	2019-12-23	2020-07-17
UAL	2018-12-24	2020-06-19
WLTW	2018-12-24	2020-04-29
AAL	2014-12-22	2020-04-17
WYNN	2017-04-24	2019-12-20
HSIC	2007-10-02	2019-12-20
MYL	2009-12-21	2019-12-20
JBHT	2017-02-07	2019-12-20
HAS	2016-12-19	2019-12-20
NLOK	2019-11-05	2019-12-20
CELG	2005-07-05	2019-11-20
SYMC	2003-01-02	2019-11-04
CTRP	2015-12-21	2019-11-04
TFCFA	2003-01-02	2019-03-19
TFCF	2003-01-02	2019-03-19
STX	2008-11-10	2018-12-21
$ESRX$	2003-01-02	2018-12-21
QRTEA	2018-03-12	2018-12-21
SHPG	2016-10-19	2018-12-21
VOD	2009-12-21	2018-12-21
HOLX	2016-12-19	2018-12-21
ESRX	2003-01-02	2018-12-20
XRAY	2016-06-20	2018-11-16
CA	2008-05-19	2018-11-02
DISH	2013-12-23	2018-07-20
QVCA	2014-10-07	2018-03-09
LVNTA	2014-10-15	2018-03-09
PCLN	2009-10-29	2018-02-26
LILA	2016-12-19	2017-12-29
LILAK	2016-12-19	2017-12-29
TSCO	2013-12-23	2017-12-15
DISCA	2012-12-24	2017-12-15
VIAB	2012-05-30	2017-12-15
NCLH	2015-12-21	2017-12-15
AKAM	2010-12-20	2017-12-15
DISCK	2014-08-07	2017-12-15
MAT	2009-12-21	2017-10-20
YHOO	2003-01-02	2017-06-16
TRIP	2013-12-23	2017-04-21
SBAC	2012-12-24	2017-03-17
NXPI	2013-12-23	2017-02-06
WFM	2011-05-06	2016-12-16
SRCL	2007-12-24	2016-12-16
NTAP	2003-01-02	2016-12-16
BBBY	2003-01-02	2016-12-16
LEXEA	2003-01-02	2016-11-07
LLTC	2003-01-02	2016-10-18
ENDP	2015-12-21	2016-07-15
LMCA	2013-06-05	2016-06-17
LMCK	2014-07-24	2016-06-17
BATRK	2016-04-18	2016-06-17
BATRA	2016-04-18	2016-06-17
LSXMA	2003-01-02	2016-04-18
LSXMK	2003-01-02	2016-04-18
SNDK	2009-12-21	2016-03-15
KLAC	2003-01-02	2016-02-19
EXPD	2003-01-02	2015-12-18
VIP	2013-10-29	2015-12-18
SPLS	2003-01-02	2015-12-18
LILAK	2015-07-02	2015-12-18
GMCR	2013-08-22	2015-12-18
CHRW	2005-11-14	2015-12-18
LILA	2015-07-02	2015-12-18
GRMN	2003-12-22	2015-12-18
WYNN	2004-12-20	2015-12-18
CMCSK	2014-12-22	2015-12-11
BRCM	2003-01-02	2015-11-10
ALTR	2003-01-02	2015-10-06
SIAL	2003-01-02	2015-07-31
DTV	2008-04-30	2015-07-24
CTRX	2012-12-24	2015-07-23
KRFT	2013-03-18	2015-07-02
EQIX	2012-12-24	2015-03-20
EXPE	2005-12-19	2014-12-19
MXIM	2008-12-22	2014-12-19
FFIV	2010-12-20	2014-12-19
LINTA	2006-10-24	2014-10-06
NUAN	2011-12-19	2013-12-20
XRAY	2003-01-02	2013-12-20
SHLD	2005-03-28	2013-12-20
FOSL	2011-12-19	2013-12-20
MCHP	2003-01-02	2013-12-20
GOLD	2011-12-19	2013-11-15
DELL	2003-01-02	2013-10-28
LIFE	2008-12-22	2013-08-21
BMC	2009-12-21	2013-07-24
ORCL	2003-01-02	2013-07-12
NWSA	2009-01-20	2013-06-28
PRGO	2011-12-06	2013-06-05
VMED	2009-12-21	2013-06-04
STRZA	2013-01-14	2013-03-15
LMCA	2012-12-24	2013-01-11
FLEX	2003-01-02	2012-12-21
MRVL	2003-12-22	2012-12-21
LRCX	2003-12-22	2012-12-21
NFLX	2010-12-20	2012-12-21
GMCR	2011-05-27	2012-12-21
VRSN	2003-01-02	2012-12-21
APOL	2003-01-02	2012-12-21
EA	2011-12-20	2012-12-21
RIMM	2003-12-22	2012-12-21
WCRX	2008-12-22	2012-12-21
INFY	2006-12-18	2012-12-11
KFT	2012-07-23	2012-10-01
CTRP	2010-12-20	2012-07-20
TEVA	2003-01-02	2012-05-29
FSLR	2008-12-22	2012-04-20
HANS	2011-12-19	2012-01-06
ERTS	2003-01-02	2011-12-19
QGEN	2009-12-21	2011-12-16
FLIR	2008-07-21	2011-12-16
ILMN	2008-12-22	2011-12-16
URBN	2008-12-22	2011-12-16
NIHD	2005-12-19	2011-12-16
JOYG	2006-01-04	2011-12-05
CEPH	2007-06-01	2011-07-14
MICC	2006-05-08	2011-05-26
WFMI	2010-12-20	2011-05-05
GENZ	2003-01-02	2011-04-01
CTAS	2003-01-02	2010-12-17
PDCO	2003-01-02	2010-12-17
DISH	2003-01-02	2010-12-17
HOLX	2007-12-24	2010-12-17
FWLT	2007-07-12	2010-12-17
JBHT	2008-12-22	2010-12-17
LOGI	2007-02-01	2010-12-17
STLD	2007-12-24	2009-12-18
PPDI	2008-12-22	2009-12-18
HANS	2007-12-24	2009-12-18
LBTYA	2004-12-20	2009-12-18
IACI	2008-09-19	2009-12-18
RYAAY	2007-02-14	2009-12-18
AKAM	2006-04-20	2009-12-18
JNPR	2003-01-02	2009-10-28
JAVA	2007-12-11	2009-07-16
FMCN	2007-12-24	2009-01-16
CDNS	2005-12-19	2008-12-19
AMLN	2006-01-09	2008-12-19
WFMI	2003-01-02	2008-12-19
LEAP	2007-10-08	2008-12-19
PETM	2003-01-02	2008-12-19
DISCA	2008-10-16	2008-12-19
SIRI	2004-12-20	2008-12-19
LAMR	2003-01-02	2008-12-19
SNDK	2003-11-13	2008-12-19
LVLT	2006-12-18	2008-12-19
VMED	2007-02-08	2008-12-19
MNST	2005-12-19	2008-11-07
DISAD	2008-09-18	2008-10-15
IACID	2008-08-21	2008-09-18
DISCA	2005-12-19	2008-09-17
IACI	2005-09-07	2008-08-20
ATVID	2008-07-10	2008-08-06
UAUA	2007-03-08	2008-07-18
ATVI	2005-12-19	2008-07-09
TLAB	2003-01-02	2008-05-16
BEAS	2003-01-02	2008-04-29
XMSR	2004-12-20	2007-12-21
ERIC	2006-08-24	2007-12-21
PTEN	2005-12-19	2007-12-21
ROST	2003-01-02	2007-12-21
SEPR	2005-08-15	2007-12-21
JAVAD	2007-11-12	2007-12-10
CKFR	2005-12-19	2007-12-03
JAVA	2007-08-27	2007-11-09
CDWC	2003-01-02	2007-10-05
MXIM	2003-01-02	2007-10-01
SUNW	2003-01-02	2007-08-24
BMET	2003-01-02	2007-07-11
MEDI	2003-01-02	2007-05-31
AEOS	2006-12-12	2007-03-07
APCC	2003-01-02	2007-02-13
NTLI	2006-04-03	2007-02-07
CMVT	2003-01-02	2007-01-31
