2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:usfuture
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:cashfarm
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:usfarm
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:euhmds
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:apachmds
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:fundfarm
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:ushmds
2025-07-30 10:27:01 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2158: Sec-def数据场连接正常:secdefhk
2025-07-30 10:27:04 | nasdaq_fetcher | INFO     | get_stock_data:126 | 请求数据: 持续时间=11 Y
2025-07-30 10:27:05 | nasdaq_fetcher | ERROR    | api_failure:120 | 🚫 API调用失败: IBKR API - 错误码 162: 历史市场数据服务错误消息:No historical market data for 1279/STK@NASDAQBBO Last 1d
2025-07-30 10:27:05 | nasdaq_fetcher | ERROR    | stock_failure:106 | ❌ MNST: 获取失败 - 错误 162: 历史市场数据服务错误消息:No historical market data for 1279/STK@NASDAQBBO Last 1d
2025-07-30 10:27:07 | nasdaq_fetcher | WARNING  | fetch_list_stocks:308 | ❌ MNST: 未获取到数据
2025-07-30 10:27:07 | nasdaq_fetcher | INFO     | fetch_list_stocks:343 | 📋 股票列表处理完成: 成功 0, 失败 3
